Seed;Model_Architecture;Label;Pruning;Gradient_Loss;PSNR
0;McMahan_CNN;DLG;small;0.007431328296661377;21.562262
0;McMahan_CNN;DLG;;0.026142656803131104;16.107855
0;McMahan_CNN;DLG;small;-1.1920928955078125e-07;53.73002
0;McMahan_CNN;DLG;;-1.1920928955078125e-07;38.500656
0;McMahan_CNN;DLG;small;0.009739518165588379;21.058313
0;McMahan_CNN;DLG;;0.03287625312805176;17.06116
0;McMahan_CNN;DLG;small;-1.1920928955078125e-07;53.606728
0;McMahan_CNN;DLG;;0.0;38.57103
0;McMahan_CNN;DLG;small;0.0011227130889892578;24.05225
0;McMahan_CNN;DLG;;0.0020804405212402344;24.506271
0;McMahan_CNN;DLG;small;-1.1920928955078125e-07;27.729511
0;McMahan_CNN;DLG;;0.0;27.811186
0;McMahan_CNN;DLG;small;0.0012845993041992188;24.527685
0;McMahan_CNN;DLG;;0.001811385154724121;24.020393
0;McMahan_CNN;DLG;small;0.0;25.536903
0;McMahan_CNN;DLG;;0.0;25.545296
0;McMahan_CNN;DLG;small;0.032731831073760986;18.09673
0;McMahan_CNN;DLG;;0.0746200680732727;11.304446
0;McMahan_CNN;DLG;small;0.0;42.569046
0;McMahan_CNN;DLG;;4.172325134277344e-07;31.004286
0;McMahan_CNN;DLG;small;0.030263781547546387;17.381527
0;McMahan_CNN;DLG;;0.07208049297332764;12.187696
0;McMahan_CNN;DLG;small;0.0;43.80921
0;McMahan_CNN;DLG;;2.384185791015625e-07;32.684006
0;McMahan_CNN;DLG;small;0.003428339958190918;22.185768
0;McMahan_CNN;DLG;;0.00606304407119751;21.177593
0;McMahan_CNN;DLG;small;0.0;26.26329
0;McMahan_CNN;DLG;;-1.1920928955078125e-07;38.39514
0;McMahan_CNN;DLG;small;0.0038074851036071777;22.220478
0;McMahan_CNN;DLG;;0.005734562873840332;21.210857
0;McMahan_CNN;DLG;small;0.0;22.429771
0;McMahan_CNN;DLG;;0.0;23.506802
0;McMahan_CNN;DLG;small;0.05321931838989258;11.695488
0;McMahan_CNN;DLG;;0.08698272705078125;6.47686
0;McMahan_CNN;DLG;small;4.172325134277344e-07;20.034893
0;McMahan_CNN;DLG;;5.364418029785156e-07;20.882513
0;McMahan_CNN;DLG;small;0.07585513591766357;7.71697
0;McMahan_CNN;DLG;;0.09988749027252197;5.531652
0;McMahan_CNN;DLG;small;5.960464477539062e-07;19.421654
0;McMahan_CNN;DLG;;5.960464477539062e-07;19.753807
0;McMahan_CNN;DLG;small;0.009469330310821533;18.410688
0;McMahan_CNN;DLG;;0.013001203536987305;13.489876
0;McMahan_CNN;DLG;small;5.960464477539063e-08;17.938578
0;McMahan_CNN;DLG;;0.0;18.269356
0;McMahan_CNN;DLG;small;0.012458562850952148;18.440342
0;McMahan_CNN;DLG;;0.0158538818359375;17.05486
0;McMahan_CNN;DLG;small;0.0;16.864925
0;McMahan_CNN;DLG;;0.0;17.753605
0;McMahan_CNN;DLG;small;0.0751725435256958;7.104883
0;McMahan_CNN;DLG;;0.09687983989715576;2.001566
0;McMahan_CNN;DLG;small;2.384185791015625e-07;19.20147
0;McMahan_CNN;DLG;;4.76837158203125e-07;19.12673
0;McMahan_CNN;DLG;small;0.10765373706817627;3.9833302
0;McMahan_CNN;DLG;;0.14389413595199585;-1.6077851
0;McMahan_CNN;DLG;small;7.748603820800781e-07;17.753563
0;McMahan_CNN;DLG;;1.0728836059570312e-06;18.60875
0;McMahan_CNN;DLG;small;0.028906285762786865;14.117663
0;McMahan_CNN;DLG;;0.032740235328674316;14.165499
0;McMahan_CNN;DLG;small;1.1920928955078125e-07;17.537617
0;McMahan_CNN;DLG;;1.1920928955078125e-07;17.487228
0;McMahan_CNN;DLG;small;0.03232449293136597;15.540493
0;McMahan_CNN;DLG;;0.03810679912567139;13.429121
0;McMahan_CNN;DLG;small;0.0;16.579887
0;McMahan_CNN;DLG;;0.0;17.199347
0;McMahan_CNN;DLG;small;0.0733710527420044;2.000679
0;McMahan_CNN;DLG;;0.08313441276550293;-2.5888512
0;McMahan_CNN;DLG;small;2.384185791015625e-07;13.706765
0;McMahan_CNN;DLG;;2.384185791015625e-07;14.013642
0;McMahan_CNN;DLG;small;0.08784240484237671;2.8204706
0;McMahan_CNN;DLG;;0.11273384094238281;-1.517281
0;McMahan_CNN;DLG;small;3.5762786865234375e-07;12.76462
0;McMahan_CNN;DLG;;4.172325134277344e-07;13.484751
0;McMahan_CNN;DLG;small;0.035527586936950684;10.295996
0;McMahan_CNN;DLG;;0.03837865591049194;10.2533
0;McMahan_CNN;DLG;small;-1.1920928955078125e-07;13.084097
0;McMahan_CNN;DLG;;-1.1920928955078125e-07;13.176968
0;McMahan_CNN;DLG;small;0.0418468713760376;11.483265
0;McMahan_CNN;DLG;;0.044557154178619385;11.077418
0;McMahan_CNN;DLG;small;-1.1920928955078125e-07;12.275524
0;McMahan_CNN;DLG;;0.0;12.494025
0;Custom_ResNet;DLG;small;0.003728806972503662;22.504227
0;Custom_ResNet;DLG;;0.011778414249420166;17.02223
0;Custom_ResNet;DLG;small;0.0;-0.81915545
0;Custom_ResNet;DLG;;0.0;-0.81915486
0;Custom_ResNet;DLG;small;0.0033422112464904785;24.743795
0;Custom_ResNet;DLG;;0.01225590705871582;16.136364
0;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-0.8191561
0;Custom_ResNet;DLG;;-1.1920928955078125e-07;-0.81915486
0;Custom_ResNet;DLG;small;0.0005003213882446289;28.765318
0;Custom_ResNet;DLG;;0.000623166561126709;24.527445
0;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-0.8191564
0;Custom_ResNet;DLG;;-1.1920928955078125e-07;-0.8191564
0;Custom_ResNet;DLG;small;0.000521540641784668;26.059914
0;Custom_ResNet;DLG;;0.001103043556213379;21.967325
0;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-0.8191564
0;Custom_ResNet;DLG;;-1.1920928955078125e-07;-0.8191564
0;Custom_ResNet;DLG;small;0.010074973106384277;17.797543
0;Custom_ResNet;DLG;;0.01741182804107666;12.063116
0;Custom_ResNet;DLG;small;-2.384185791015625e-07;-0.9875734
0;Custom_ResNet;DLG;;-2.384185791015625e-07;-0.9875734
0;Custom_ResNet;DLG;small;0.005652427673339844;20.358479
0;Custom_ResNet;DLG;;0.020598411560058594;10.721025
0;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-0.9875735
0;Custom_ResNet;DLG;;0.0;-0.9875734
0;Custom_ResNet;DLG;small;0.0013769865036010742;19.609573
0;Custom_ResNet;DLG;;0.0018706917762756348;18.279913
0;Custom_ResNet;DLG;small;5.960464477539063e-08;-0.98757386
0;Custom_ResNet;DLG;;5.960464477539063e-08;-0.98757386
0;Custom_ResNet;DLG;small;0.0013249516487121582;19.381386
0;Custom_ResNet;DLG;;0.001792311668395996;19.494192
0;Custom_ResNet;DLG;small;0.0;-0.98757386
0;Custom_ResNet;DLG;;0.0;-0.98757386
0;Custom_ResNet;DLG;small;0.01268625259399414;11.289774
0;Custom_ResNet;DLG;;0.020661890506744385;8.808041
0;Custom_ResNet;DLG;small;5.960464477539063e-08;-0.9997398
0;Custom_ResNet;DLG;;0.0;-0.9997398
0;Custom_ResNet;DLG;small;0.008492767810821533;11.871726
0;Custom_ResNet;DLG;;0.019093692302703857;9.173222
0;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-0.9997398
0;Custom_ResNet;DLG;;-1.1920928955078125e-07;-0.9997395
0;Custom_ResNet;DLG;small;0.0018820762634277344;16.991175
0;Custom_ResNet;DLG;;0.002126753330230713;14.967121
0;Custom_ResNet;DLG;small;0.0;-0.9997399
0;Custom_ResNet;DLG;;0.0;-0.9997399
0;Custom_ResNet;DLG;small;0.0018643736839294434;16.096352
0;Custom_ResNet;DLG;;0.0016162991523742676;11.962479
0;Custom_ResNet;DLG;small;0.0;-0.9997399
0;Custom_ResNet;DLG;;0.0;-0.9997399
0;Custom_ResNet;DLG;small;0.02500218152999878;8.740732
0;Custom_ResNet;DLG;;0.035253167152404785;7.8011837
0;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-0.98439324
0;Custom_ResNet;DLG;;-1.1920928955078125e-07;-0.9843931
0;Custom_ResNet;DLG;small;0.02274411916732788;10.218845
0;Custom_ResNet;DLG;;0.03667324781417847;8.540975
0;Custom_ResNet;DLG;small;0.0;-0.98439324
0;Custom_ResNet;DLG;;0.0;-0.98439324
0;Custom_ResNet;DLG;small;0.004619479179382324;11.38998
0;Custom_ResNet;DLG;;0.004961669445037842;10.977555
0;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-0.98439324
0;Custom_ResNet;DLG;;0.0;-0.98439324
0;Custom_ResNet;DLG;small;0.00344085693359375;12.520096
0;Custom_ResNet;DLG;;0.004285037517547607;11.533468
0;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-0.98439324
