Seed;Model_Architecture;Batch_Size;Init_Method;Pruning;Activation;Iterations;Gradient_Loss;PSNR
0;Custom_ResNet;4;kaiming_uniform_;;Sigmoid;1200;5.960464477539063e-08;-0.9997399
0;Custom_ResNet;8;xavier_normal_;small;ReLU;1200;0.03038686513900757;8.740732
0;Custom_ResNet;8;xavier_normal_;;ReLU;1200;0.047993600368499756;7.8011837
0;Custom_ResNet;8;xavier_normal_;small;Sigmoid;1200;0.0;-0.98439324
0;Custom_ResNet;8;xavier_normal_;;Sigmoid;1200;0.0;-0.9843931
0;Custom_ResNet;8;xavier_uniform_;small;ReLU;1200;0.027914822101593018;10.218845
0;Custom_ResNet;8;xavier_uniform_;;ReLU;1200;0.044897258281707764;8.540975
0;Custom_ResNet;8;xavier_uniform_;small;Sigmoid;1200;5.960464477539063e-08;-0.98439324
0;Custom_ResNet;8;xavier_uniform_;;Sigmoid;1200;5.960464477539063e-08;-0.98439324
0;Custom_ResNet;8;kaiming_normal_;small;ReLU;1200;0.006200194358825684;11.38998
0;Custom_ResNet;8;kaiming_normal_;;ReLU;1200;0.005858361721038818;10.977555
0;Custom_ResNet;8;kaiming_normal_;small;Sigmoid;1200;5.960464477539063e-08;-0.98439324
0;Custom_ResNet;8;kaiming_normal_;;Sigmoid;1200;5.960464477539063e-08;-0.98439324
0;Custom_ResNet;8;kaiming_uniform_;small;ReLU;1200;0.0037085413932800293;12.520096
0;Custom_ResNet;8;kaiming_uniform_;;ReLU;1200;0.004913151264190674;11.533468
0;Custom_ResNet;8;kaiming_uniform_;small;Sigmoid;1200;1.1920928955078125e-07;-0.98439324
0;Custom_ResNet;8;kaiming_uniform_;;Sigmoid;1200;0.0;-0.98439324
0;Custom_ResNet;16;xavier_normal_;small;ReLU;1200;0.02438455820083618;7.355128
0;Custom_ResNet;16;xavier_normal_;;ReLU;1200;0.03063303232192993;6.307599
0;Custom_ResNet;16;xavier_normal_;small;Sigmoid;1200;-1.1920928955078125e-07;-1.0470558
0;Custom_ResNet;16;xavier_normal_;;Sigmoid;1200;0.0;-1.0470558
0;Custom_ResNet;16;xavier_uniform_;small;ReLU;1200;0.02598714828491211;9.009672
0;Custom_ResNet;16;xavier_uniform_;;ReLU;1200;0.036552608013153076;7.2327156
0;Custom_ResNet;16;xavier_uniform_;small;Sigmoid;1200;0.0;-1.047056
0;Custom_ResNet;16;xavier_uniform_;;Sigmoid;1200;0.0;-1.047056
0;Custom_ResNet;16;kaiming_normal_;small;ReLU;1200;0.004695296287536621;9.178412
0;Custom_ResNet;16;kaiming_normal_;;ReLU;1200;0.005494356155395508;8.688545
0;Custom_ResNet;16;kaiming_normal_;small;Sigmoid;1200;0.0;-1.047056
0;Custom_ResNet;16;kaiming_normal_;;Sigmoid;1200;0.0;-1.047056
0;Custom_ResNet;16;kaiming_uniform_;small;ReLU;1200;0.0038289427757263184;9.634256
0;Custom_ResNet;16;kaiming_uniform_;;ReLU;1200;0.004801571369171143;9.389409
0;Custom_ResNet;16;kaiming_uniform_;small;Sigmoid;1200;0.0;-1.047056
0;Custom_ResNet;16;kaiming_uniform_;;Sigmoid;1200;0.0;-1.047056
1;McMahan_CNN;1;xavier_normal_;small;ReLU;500;0.05099642276763916;20.865505
1;McMahan_CNN;1;xavier_normal_;;ReLU;500;0.05448418855667114;17.308506
1;McMahan_CNN;1;xavier_normal_;small;Sigmoid;500;0.0;53.674606
1;McMahan_CNN;1;xavier_normal_;;Sigmoid;500;1.7881393432617188e-07;38.83673
1;McMahan_CNN;1;xavier_uniform_;small;ReLU;500;0.03498029708862305;19.4445
1;McMahan_CNN;1;xavier_uniform_;;ReLU;500;0.03945910930633545;17.487198
1;McMahan_CNN;1;xavier_uniform_;small;Sigmoid;500;0.0;51.039192
1;McMahan_CNN;1;xavier_uniform_;;Sigmoid;500;1.1920928955078125e-07;40.285667
1;McMahan_CNN;1;kaiming_normal_;small;ReLU;500;0.014514684677124023;25.31212
1;McMahan_CNN;1;kaiming_normal_;;ReLU;500;0.016620218753814697;25.387213
1;McMahan_CNN;1;kaiming_normal_;small;Sigmoid;500;2.384185791015625e-07;24.870056
1;McMahan_CNN;1;kaiming_normal_;;Sigmoid;500;1.1920928955078125e-07;29.085346
1;McMahan_CNN;1;kaiming_uniform_;small;ReLU;500;0.0022382736206054688;24.78447
1;McMahan_CNN;1;kaiming_uniform_;;ReLU;500;0.003130495548248291;26.753742
1;McMahan_CNN;1;kaiming_uniform_;small;Sigmoid;500;1.1920928955078125e-07;27.168
1;McMahan_CNN;1;kaiming_uniform_;;Sigmoid;500;1.1920928955078125e-07;30.99588
1;McMahan_CNN;2;xavier_normal_;small;ReLU;500;0.08942770957946777;14.62994
1;McMahan_CNN;2;xavier_normal_;;ReLU;500;0.14344865083694458;9.60887
1;McMahan_CNN;2;xavier_normal_;small;Sigmoid;500;1.7881393432617188e-07;41.19625
1;McMahan_CNN;2;xavier_normal_;;Sigmoid;500;4.76837158203125e-07;32.667397
1;McMahan_CNN;2;xavier_uniform_;small;ReLU;500;0.02714061737060547;17.081299
1;McMahan_CNN;2;xavier_uniform_;;ReLU;500;0.04549604654312134;12.438316
1;McMahan_CNN;2;xavier_uniform_;small;Sigmoid;500;0.0;43.52214
1;McMahan_CNN;2;xavier_uniform_;;Sigmoid;500;4.172325134277344e-07;34.354126
1;McMahan_CNN;2;kaiming_normal_;small;ReLU;500;0.015617847442626953;22.180828
1;McMahan_CNN;2;kaiming_normal_;;ReLU;500;0.018478751182556152;21.49821
1;McMahan_CNN;2;kaiming_normal_;small;Sigmoid;500;5.960464477539063e-08;22.996754
1;McMahan_CNN;2;kaiming_normal_;;Sigmoid;500;1.7881393432617188e-07;23.449713
1;McMahan_CNN;2;kaiming_uniform_;small;ReLU;500;0.008113622665405273;20.660265
1;McMahan_CNN;2;kaiming_uniform_;;ReLU;500;0.01430821418762207;22.076965
1;McMahan_CNN;2;kaiming_uniform_;small;Sigmoid;500;2.384185791015625e-07;23.480888
1;McMahan_CNN;2;kaiming_uniform_;;Sigmoid;500;3.5762786865234375e-07;23.891499
1;McMahan_CNN;4;xavier_normal_;small;ReLU;500;0.09811508655548096;0.9539765
1;McMahan_CNN;4;xavier_normal_;;ReLU;500;0.12252795696258545;-0.06949413
1;McMahan_CNN;4;xavier_normal_;small;Sigmoid;500;1.0728836059570312e-06;18.833397
1;McMahan_CNN;4;xavier_normal_;;Sigmoid;500;9.5367431640625e-07;19.406185
1;McMahan_CNN;4;xavier_uniform_;small;ReLU;500;0.05123227834701538;5.6591463
1;McMahan_CNN;4;xavier_uniform_;;ReLU;500;0.07222938537597656;4.0478683
1;McMahan_CNN;4;xavier_uniform_;small;Sigmoid;500;8.940696716308594e-07;18.58397
1;McMahan_CNN;4;xavier_uniform_;;Sigmoid;500;8.940696716308594e-07;18.785843
1;McMahan_CNN;4;kaiming_normal_;small;ReLU;500;0.01695162057876587;14.248133
1;McMahan_CNN;4;kaiming_normal_;;ReLU;500;0.012835919857025146;14.082471
1;McMahan_CNN;4;kaiming_normal_;small;Sigmoid;500;2.980232238769531e-07;17.265272
1;McMahan_CNN;4;kaiming_normal_;;Sigmoid;500;0.0;17.794094
1;McMahan_CNN;4;kaiming_uniform_;small;ReLU;500;0.009986042976379395;13.853965
1;McMahan_CNN;4;kaiming_uniform_;;ReLU;500;0.01737278699874878;13.515319
