Seed,Model_Architecture,Batch_Size,Init_Method,Activation,Iterations,Gradient_Loss,PSNR
4,McMahan_CNN,4,xavier_uniform_,ReLU,1200,0.0321455597877502,14.189489841461182
4,McMahan_CNN,4,kaiming_normal_,ReLU,1200,0.0107967257499694,13.261028170585632
4,McMahan_CNN,4,kaiming_uniform_,ReLU,1200,0.0097057223320007,18.290807723999023
4,McMahan_CNN,8,xavier_normal_,ReLU,1200,0.0909219980239868,4.101355016231537
4,McMahan_CNN,8,xavier_uniform_,ReLU,1200,0.0502674579620361,8.39929723739624
4,McMahan_CNN,8,kaiming_normal_,ReLU,1200,0.0217925906181335,13.186760783195496
4,McMahan_CNN,8,kaiming_uniform_,ReLU,1200,0.0170701742172241,13.922217726707458
4,McMahan_CNN,16,xavier_normal_,ReLU,1200,0.0778383612632751,0.4155607670545578
4,McMahan_CNN,16,xavier_uniform_,ReLU,1200,0.0363118648529052,3.7540092691779137
4,McMahan_CNN,16,kaiming_normal_,ReLU,1200,0.0259230732917785,11.052219718694689
4,McMahan_CNN,16,kaiming_uniform_,ReLU,1200,0.0244410037994384,10.026071161031725
